RewardID	原石	摩拉	冒险阅历	角色经验	好感经验	树脂	Reward道具1ID	Reward道具1数量	Reward道具2ID	Reward道具2数量	Reward道具3ID	Reward道具3数量	Reward道具4ID	Reward道具4数量	Reward道具5ID	Reward道具5数量	Reward道具6ID	Reward道具6数量	Reward道具7ID	Reward道具7数量	Reward道具8ID	Reward道具8数量	Reward道具9ID	Reward道具9数量	产出来源类型	每日产出次数上限	历史产出次数上限	活动产出次数上限
10000							100001	1																				
100351							102	225	0	0	202	975	0	0	0	0	0	0	101	500	0	0			3		1	
100352							102	225	0	0	202	975	0	0	0	0	0	0	101	500	0	0			3		1	
100353							102	250	201	20	202	1100	108032	10	108005	10	0	0	101	575	0	0			3		1	
100355							102	250	0	0	202	1100	0	0	0	0	0	0	101	575	0	0			3		1	
100354							102	275	0	0	202	1200	0	0	0	0	0	0	101	625	0	0			3		1	
100360							102	275	201	20	202	1800	15303	1	0	0	0	0	101	925	104011	8			3		1	
100356							102	250	0	0	202	1625	0	0	0	0	0	0	101	850	104011	7			3		1	
100357							102	275	201	20	202	2400	0	0	0	0	0	0	101	1250	104012	2			3		1	
100358							102	225	0	0	202	1950	0	0	0	0	0	0	101	1025	104011	9			3		1	
100306							102	275	201	20	202	3000	0	0	0	0	0	0	101	1550	104012	3			3		1	
100307							102	275	201	20	202	3000	1015	1	11303	1	0	0	101	1550	104012	3			3		1	
100308							102	275	201	20	202	3000	1006	1	14303	1	0	0	101	1550	104012	3			3		1	
100370							102	225	0	0	202	4875	0	0	0	0	0	0	101	2550	104012	4			3		1	
100371							102	275	0	0	202	5975	0	0	0	0	0	0	101	3125	104012	5			3		1	
100372							102	250	0	0	202	5450	0	0	0	0	0	0	101	2850	104012	5			3		1	
100373							102	250	201	20	202	5450	0	0	0	0	0	0	101	2850	104012	5			3		1	
100374							102	275	0	0	202	5975	0	0	0	0	0	0	101	3125	104012	5			3		1	
100375							102	250	0	0	202	5450	0	0	0	0	0	0	101	2850	104012	5			3		1	
100376							102	250	0	0	202	5450	0	0	0	0	0	0	101	2850	104012	5			3		1	
100377							102	175	0	0	202	4225	0	0	0	0	0	0	101	2200	104012	4			3		1	
120101							102	175	0	0	202	4225	0	0	0	0	0	0	101	2200	104012	4			3		1	
100379							102	250	0	0	202	5450	0	0	0	0	0	0	101	2850	104012	5			3		1	
100380							102	250	201	20	202	6000	0	0	0	0	0	0	101	3125	104012	7			3		1	
100381							102	250	201	20	202	6000	0	0	0	0	0	0	101	3125	104012	7			3		1	
100382							102	250	201	20	202	6000	0	0	0	0	0	0	101	3125	104012	7			3		1	
100383							102	250	0	0	202	6000	0	0	0	0	0	0	101	3125	104012	7			3		1	
100384							102	325	201	20	202	8050	915	1	0	0	0	0	101	4200	104012	9			3		1	
100397							102	350	0	0	202	10725	0	0	0	0	0	0	104002	4	104013	2			3		1	
100388							102	350	0	0	202	10725	0	0	0	0	0	0	104002	4	104013	2			3		1	
100389							102	300	0	0	202	8775	0	0	0	0	0	0	104002	3	104012	10			3		1	
100390							102	375	201	20	202	11325	0	0	0	0	0	0	104002	4	104013	2			3		1	
100393							102	275	0	0	202	8000	0	0	0	0	0	0	104002	3	104012	9			3		1	
100394							102	425	201	30	202	12400	15401	1	100584	1	0	0	104002	5	104013	3			3		1	
100398							102	275	0	0	202	8000	0	0	0	0	0	0	104002	3	104012	9			3		1	
100396							102	375	201	30	202	11325	915	1	0	0	0	0	104002	4	104013	2			3		1	
100399							102	350	0	0	202	10125	108056	3	0	0	0	0	104002	4	104013	2			3		1	
101000							102	375	0	0	202	11550	0	0	0	0	0	0	104002	4	104013	3			3		1	
101002							102	550	0	0	202	16325	0	0	0	0	0	0	104002	6	104013	4			3		1	
101003							102	475	201	30	202	14600	0	0	0	0	0	0	104002	6	104013	3			3		1	
101008							102	400	0	0	202	12250	0	0	0	0	0	0	104002	5	104013	3			3		1	
101009							102	400	0	0	202	12250	0	0	0	0	0	0	104002	5	104013	3			3		1	
101018							102	300	201	30	202	9300	0	0	0	0	0	0	104002	4	104013	2			3		1	
101010							102	500	0	0	202	18075	0	0	0	0	0	0	104002	7	104013	4			3		1	
101011							102	625	201	30	202	22850	0	0	0	0	0	0	104003	2	104013	5			3		1	
101012							102	525	0	0	202	19125	0	0	0	0	0	0	104002	7	104013	4			3		1	
101013							102	575	201	30	202	19800	0	0	0	0	0	0	104002	7	104013	4			3		1	
101014							102	575	0	0	202	19800	0	0	0	0	0	0	104002	7	104013	4			3		1	
101015							102	700	201	30	202	24250	0	0	0	0	0	0	104003	2	104013	5			3		1	
101016							102	575	201	30	202	19800	917	1	0	0	0	0	104002	7	104013	4			3		1	
101020							102	675	0	0	202	27500	0	0	0	0	0	0	104003	3	104013	5			3		1	
101021							102	725	201	30	202	29400	0	0	0	0	0	0	104003	3	104013	5			3		1	
101022							102	675	0	0	202	27500	0	0	0	0	0	0	104003	3	104013	5			3		1	
101023							102	800	201	30	202	38100	0	0	0	0	0	0	104003	4	104013	7			3		1	
101024							102	800	201	30	202	38100	100585	1	0	0	0	0	104003	4	104013	7			3		1	
101025							102	750	201	30	202	35925	917	1	0	0	0	0	104003	3	104013	7			3		1	
118000							102	800	201	60	202	38100	104302	1	104305	1	104308	1	104003	4	104013	7			3		1	
108000							102	650	0	0	202	31125	0	0	0	0	0	0	104003	3	104013	6			3		1	
108001							102	650	0	0	202	31125	0	0	0	0	0	0	104003	3	104013	6			3		1	
108002							102	800	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	7			3		1	
108003							102	650	201	60	202	31125	104302	2	104305	2	104308	2	104003	3	104013	6			3		1	
102000							102	700	0	0	202	34075	0	0	0	0	0	0	104003	3	104013	6			3		1	
102001							102	750	0	0	202	35475	0	0	0	0	0	0	104003	3	104013	6			3		1	
102002							102	700	201	60	202	34075	104311	2	104314	2	104317	2	104003	3	104013	6			3		1	
100461							102	250	0	0	202	3225	0	0	0	0	0	0	104001	8	104012	3			3		1	
100462							102	250	0	0	202	3225	0	0	0	0	0	0	104001	8	104012	3			3		1	
100463							102	300	201	60	202	3850	104307	5	11302	1	0	0	104001	10	104012	4			3		1	
100481							102	125	0	0	202	2750	0	0	0	0	0	0	104001	7	104012	3			3		1	
100480							102	175	0	0	202	4375	0	0	0	0	0	0	104002	2	104012	5			3		1	
100427							102	225	0	0	202	5525	0	0	0	0	0	0	104002	3	104012	6			3		1	
100484							102	275	0	0	202	6175	0	0	0	0	0	0	104002	3	104012	7			3		1	
100485							102	275	201	60	202	6175	104301	5	0	0	0	0	104002	3	104012	7			3		1	
111000							102	175	0	0	202	6000	0	0	0	0	0	0	104002	3	104012	7			3		1	
111001							102	125	0	0	202	4650	0	0	0	0	0	0	104002	2	104012	5			3		1	
111002							102	175	0	0	202	6575	0	0	0	0	0	0	104002	3	104012	8			3		1	
111003							102	125	0	0	202	4650	0	0	0	0	0	0	104002	2	104012	5			3		1	
111004							102	225	0	0	202	8475	0	0	0	0	0	0	104002	4	104012	10			3		1	
111005							102	225	201	60	202	8475	104313	5	0	0	0	0	104002	4	104012	10			3		1	
110100							102	425	0	0	202	9475	0	0	0	0	0	0	104002	5	104013	3			3		1	
110101							102	425	201	60	202	9475	104307	5	100222	1	0	0	104002	5	104013	3			3		1	
100464							102	300	0	0	202	13850	0	0	0	0	0	0	104002	6	104013	4			3		1	
100465							102	300	0	0	202	13850	0	0	0	0	0	0	104002	6	104013	4			3		1	
100466							102	300	201	60	202	13850	104304	5	0	0	0	0	104002	6	104013	4			3		1	
100451							102	275	0	0	202	10000	0	0	0	0	0	0	104002	5	104013	2			3		1	
100452							102	275	0	0	202	10000	0	0	0	0	0	0	104002	5	104013	2			3		1	
100453							102	275	0	0	202	10000	0	0	0	0	0	0	104002	5	104013	2			3		1	
100454							102	400	201	60	202	14150	104304	5	0	0	0	0	104002	7	104013	3			3		1	
112000							102	350	0	0	202	19800	0	0	0	0	0	0	104003	2	104013	4			3		1	
112001							102	350	0	0	202	19800	0	0	0	0	0	0	104003	2	104013	4			3		1	
112002							102	350	0	0	202	19800	0	0	0	0	0	0	104003	2	104013	4			3		1	
112003							102	350	201	60	202	19800	104316	5	0	0	0	0	104003	2	104013	4			3		1	
110200							102	400	0	0	202	18000	0	0	0	0	0	0	104003	2	104013	4			3		1	
110201							102	675	0	0	202	31175	0	0	0	0	0	0	104003	4	104013	6			3		1	
110202							102	400	201	60	202	18000	104301	5	0	0	0	0	104003	2	104013	4			3		1	
100486							102	425	0	0	202	25450	0	0	0	0	0	0	104003	3	104013	5			3		1	
100487							102	300	0	0	202	18000	0	0	0	0	0	0	104003	2	104013	4			3		1	
100488							102	375	0	0	202	22775	0	0	0	0	0	0	104003	3	104013	5			3		1	
100489							102	300	0	0	202	18000	0	0	0	0	0	0	104003	2	104013	4			3		1	
100490							102	550	201	60	202	33200	104304	5	0	0	0	0	104003	4	104013	7			3		1	
110110							102	350	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
110111							102	500	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
110112							102	500	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
110113							102	500	201	60	202	31125	104307	5	0	0	0	0	104003	4	104013	7			3		1	
110500							102	525	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
110501							102	625	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
110502							102	525	201	60	202	31125	104304	5	0	0	0	0	104003	4	104013	7			3		1	
111200							102	550	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
111201							102	650	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
111202							102	550	201	60	202	31125	104311	5	0	0	0	0	104003	4	104013	7			3		1	
111010							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
111011							102	625	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
111012							102	725	201	60	202	44000	104302	5	0	0	0	0	104003	5	104013	10			3		1	
111020							102	350	0	0	202	19675	0	0	0	0	0	0	104003	2	104013	4			3		1	
111021							102	500	0	0	202	27825	0	0	0	0	0	0	104003	3	104013	6			3		1	
111022							102	500	0	0	202	27825	0	0	0	0	0	0	104003	3	104013	6			3		1	
111023							102	575	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
111024							102	300	201	60	202	17050	104317	5	0	0	0	0	104002	8	104013	4			3		1	
111030							102	625	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
111031							102	675	0	0	202	41750	0	0	0	0	0	0	104003	5	104013	9			3		1	
111032							102	425	201	60	202	26025	104314	5	0	0	0	0	104003	3	104013	6			3		1	
111040							102	275	0	0	202	17050	0	0	0	0	0	0	104002	8	104013	4			3		1	
111041							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
111042							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
111044							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
111043							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
111045							102	475	201	60	202	27825	104308	5	0	0	0	0	104003	3	104013	6			3		1	
111100							102	450	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
111101							102	450	0	0	202	31125	0	0	0	0	0	0	104003	4	104013	7			3		1	
111102							102	550	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
111103							102	550	201	60	202	38100	104311	5	0	0	0	0	104003	4	104013	8			3		1	
111110							102	500	0	0	202	34075	0	0	0	0	0	0	104003	4	104013	7			3		1	
111111							102	400	0	0	202	27825	0	0	0	0	0	0	104003	3	104013	6			3		1	
111112							102	500	0	0	202	34075	0	0	0	0	0	0	104003	4	104013	7			3		1	
111113							102	600	201	60	202	41750	104314	5	0	0	0	0	104003	5	104013	9			3		1	
110120							102	375	0	0	202	22000	0	0	0	0	0	0	104003	2	104013	5			3		1	
110121							102	625	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
110122							102	725	201	60	202	44000	104305	5	0	0	0	0	104003	5	104013	10			3		1	
111120							102	400	0	0	202	24100	0	0	0	0	0	0	104003	3	104013	5			3		1	
111121							102	400	0	0	202	24100	0	0	0	0	0	0	104003	3	104013	5			3		1	
111122							102	625	0	0	202	38100	0	0	0	0	0	0	104003	4	104013	8			3		1	
